campaign,comparison_arm,kem_level,variant,variant_name,model,target_prr,mean_bad_burst,p_gb,p_bg,forced_loss,number_of_runs,client_evaluated_runs,evaluated_runs,successful_runs,success_rate,targeted_test_reached_runs,targeted_test_reached_rate,precondition_not_reached_runs,precondition_not_reached_rate,invalid_targeted_runs,mean_latency_success,median_latency_success,mean_application_retries,mean_selective_retransmissions,mean_rfrag_retransmissions,mean_rfrag_rto_expired,mean_rfrag_null_ack_rx,mean_rfrag_partial_ack_rx,mean_rfrag_ack_tx,mean_fragments_tx,forced_loss_applied_rate
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,fixed,0.95,,,,none,30,30,30,26,0.8666666666666667,,,,,,577.6538461538462,531.5,0.0,0.1,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.1,1.9333333333333333,16.366666666666667,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,fixed,1.0,,,,none,30,30,30,30,1.0,,,,,,535.5666666666667,528.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,gilbert,0.5,10.0,0.1,0.1,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.36666666666666664,0.4666666666666667,0.03333333333333333,0.0,0.03333333333333333,1.5666666666666667,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,gilbert,0.5,2.0,0.5,0.5,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,gilbert,0.5,5.0,0.2,0.2,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.1,0.13333333333333333,0.0,0.0,0.0,0.4,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,gilbert,0.85,10.0,0.0176470588,0.1,none,30,30,30,15,0.5,,,,,,619.8666666666667,544.0,0.0,0.32142857142857145,0.7857142857142857,0.5714285714285714,0.10714285714285714,0.10714285714285714,1.5,12.035714285714286,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,gilbert,0.85,2.0,0.0882352941,0.5,none,30,30,30,12,0.4,,,,,,1785.9166666666667,622.0,0.0,0.7666666666666667,1.2333333333333334,0.5,0.06666666666666667,0.4,1.5,9.333333333333334,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,gilbert,0.85,5.0,0.0352941176,0.2,none,30,30,30,12,0.4,,,,,,1496.0,564.5,0.0,0.6,1.3333333333333333,0.8666666666666667,0.06666666666666667,0.23333333333333334,1.2333333333333334,10.633333333333333,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,gilbert,0.9,10.0,0.0111111111,0.1,none,30,30,30,19,0.6333333333333333,,,,,,601.4736842105264,536.0,0.0,0.4482758620689655,0.6551724137931034,0.2413793103448276,0.06896551724137931,0.10344827586206896,1.5517241379310345,13.379310344827585,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,gilbert,0.9,2.0,0.0555555556,0.5,none,30,30,30,16,0.5333333333333333,,,,,,642.25,567.5,0.0,0.8,0.9333333333333333,0.16666666666666666,0.06666666666666667,0.4666666666666667,1.6333333333333333,11.733333333333333,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,gilbert,0.9,5.0,0.0222222222,0.2,none,30,30,30,16,0.5333333333333333,,,,,,804.0,546.0,0.0,0.4827586206896552,0.896551724137931,0.4827586206896552,0.06896551724137931,0.13793103448275862,1.3793103448275863,12.068965517241379,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,gilbert,0.95,10.0,0.0052631579,0.1,none,30,30,30,21,0.7,,,,,,537.8571428571429,517.0,0.0,0.27586206896551724,0.4482758620689655,0.20689655172413793,0.06896551724137931,0.06896551724137931,1.6551724137931034,14.413793103448276,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,gilbert,0.95,2.0,0.0263157895,0.5,none,30,30,30,18,0.6,,,,,,668.8888888888889,547.5,0.0,0.43333333333333335,0.5666666666666667,0.16666666666666666,0.06666666666666667,0.3,1.5666666666666667,12.266666666666667,
A_B1_VS_B2,B2,512,2,B2_RFRAG_FINAL_ACK,gilbert,0.95,5.0,0.0105263158,0.2,none,30,30,30,20,0.6666666666666666,,,,,,956.0,538.5,0.0,0.4666666666666667,0.7666666666666667,0.3333333333333333,0.06666666666666667,0.16666666666666666,1.7,14.266666666666667,
A_B1_VS_B2,B2,768,2,B2_RFRAG_FINAL_ACK,fixed,0.5,,,,none,30,30,30,10,0.3333333333333333,,,,,,2214.8,1845.5,0.0,1.1333333333333333,1.6666666666666667,0.5333333333333333,0.06666666666666667,0.6333333333333333,1.4666666666666666,10.866666666666667,
A_B1_VS_B2,B2,768,2,B2_RFRAG_FINAL_ACK,fixed,0.85,,,,none,30,30,30,20,0.6666666666666666,,,,,,870.95,764.0,0.0,0.5666666666666667,0.6333333333333333,0.06666666666666667,0.0,0.43333333333333335,1.7666666666666666,17.3,
A_B1_VS_B2,B2,768,2,B2_RFRAG_FINAL_ACK,fixed,0.9,,,,none,30,30,30,22,0.7333333333333333,,,,,,797.0454545454545,752.5,0.0,0.3333333333333333,0.4,0.06666666666666667,0.03333333333333333,0.26666666666666666,1.8,19.166666666666668,
A_B1_VS_B2,B2,768,2,B2_RFRAG_FINAL_ACK,fixed,0.95,,,,none,30,30,30,27,0.9,,,,,,775.074074074074,742.0,0.0,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.0,0.23333333333333334,2.066666666666667,22.833333333333332,
A_B1_VS_B2,B2,768,2,B2_RFRAG_FINAL_ACK,fixed,1.0,,,,none,30,30,30,30,1.0,,,,,,724.8666666666667,712.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,
A_B1_VS_B2,B2,768,2,B2_RFRAG_FINAL_ACK,gilbert,0.5,10.0,0.1,0.1,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.3,0.4,0.03333333333333333,0.0,0.03333333333333333,2.033333333333333,
A_B1_VS_B2,B2,768,2,B2_RFRAG_FINAL_ACK,gilbert,0.5,2.0,0.5,0.5,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A_B1_VS_B2,B2,768,2,B2_RFRAG_FINAL_ACK,gilbert,0.5,5.0,0.2,0.2,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.1,0.13333333333333333,0.0,0.0,0.0,0.5333333333333333,
A_B1_VS_B2,B2,768,2,B2_RFRAG_FINAL_ACK,gilbert,0.85,10.0,0.0176470588,0.1,none,30,30,30,15,0.5,,,,,,729.7333333333333,742.0,0.0,0.06896551724137931,0.9310344827586207,1.103448275862069,0.0,0.06896551724137931,1.4827586206896552,16.896551724137932,
A_B1_VS_B2,B2,768,2,B2_RFRAG_FINAL_ACK,gilbert,0.85,2.0,0.0882352941,0.5,none,30,30,30,9,0.3,,,,,,3106.4444444444443,1866.0,0.0,1.0,1.5666666666666667,0.6,0.16666666666666666,0.5666666666666667,1.5666666666666667,12.866666666666667,
A_B1_VS_B2,B2,768,2,B2_RFRAG_FINAL_ACK,gilbert,0.85,5.0,0.0352941176,0.2,none,30,30,30,13,0.43333333333333335,,,,,,2035.6923076923076,764.0,0.0,1.3333333333333333,1.8333333333333333,0.5666666666666667,0.1,0.36666666666666664,1.5,15.633333333333333,
